date,regime_open,regime_label_open,close_open,regime_noon,regime_label_noon,close_noon,shift_occurred,shift_type,price_change,price_change_pct
2025-12-18,2,bull,676.280029296875,2,bull,676.4400024414062,False,bull → bull,0.000236548674515058,0.0236548674515058
2025-12-19,2,bull,679.4099731445312,0,neutral,680.1400146484375,True,bull → neutral,0.001074522795901034,0.1074522795901034
2025-12-22,2,bull,683.22998046875,1,bear,684.8049926757812,True,bull → bear,0.0023052445765783247,0.23052445765783247
2025-12-23,1,bear,685.7750244140625,0,neutral,686.9400024414062,True,bear → neutral,0.0016987758169513256,0.16987758169513256
2025-12-24,0,neutral,688.280029296875,0,neutral,690.5900268554688,False,neutral → neutral,0.003356188557371853,0.3356188557371853
2025-12-26,1,bear,691.5499877929688,1,bear,689.489990234375,False,bear → bear,-0.0029788122260953065,-0.29788122260953065
2025-12-29,1,bear,688.4299926757812,0,neutral,686.8400268554688,True,bear → neutral,-0.002309553385570373,-0.23095533855703732
2025-12-30,1,bear,687.1199951171875,1,bear,687.0599975585938,False,bear → bear,-8.731743948675597e-05,-0.008731743948675597
2025-12-31,1,bear,685.85498046875,0,neutral,684.9600219726562,True,bear → neutral,-0.0013048800717057052,-0.13048800717057052
2026-01-02,2,bull,684.93017578125,2,bull,682.2999877929688,False,bull → bull,-0.003840081925549854,-0.3840081925549854
2026-01-05,2,bull,687.4000244140625,0,neutral,688.97998046875,True,bull → neutral,0.002298452136416884,0.22984521364168842
2026-01-06,1,bear,688.5,1,bear,689.9600219726562,False,bear → bear,0.002120583838280732,0.21205838382807318
2026-01-07,0,neutral,692.7412719726562,0,neutral,693.710205078125,False,neutral → neutral,0.0013986940646824042,0.13986940646824042
2026-01-08,1,bear,687.8250122070312,1,bear,689.510009765625,False,bear → bear,0.0024497474338525116,0.24497474338525116
2026-01-09,1,bear,691.3800048828125,1,bear,694.1799926757812,False,bear → bear,0.004049853587309471,0.4049853587309471
2026-01-12,1,bear,692.7498779296875,0,neutral,694.5900268554688,True,bear → neutral,0.0026562962829825842,0.2656296282982584
2026-01-13,0,neutral,695.1500244140625,1,bear,694.8800048828125,True,neutral → bear,-0.00038843346294581416,-0.038843346294581416
2026-01-14,2,bull,689.5700073242188,2,bull,687.219970703125,False,bull → bull,-0.00340797394917558,-0.340797394917558
2026-01-15,2,bull,694.0599975585938,0,neutral,695.010009765625,True,bull → neutral,0.001368775336963557,0.1368775336963557
2026-01-16,1,bear,693.135009765625,1,bear,692.739990234375,False,bear → bear,-0.000569902725565119,-0.0569902725565119
